epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,36975929.5819,36342921.1765,0.4741,0.5079,0.4554,0.5079
2,16623605.8297,8484883.3309,0.3900,0.4305,0.4065,0.4305
3,13559233.0194,30448594.0294,0.3854,0.4186,0.4301,0.4186
4,14563892.8028,46170625.8824,0.4947,0.5328,0.4954,0.5328
5,14989909.2381,12971645.0147,0.4367,0.4995,0.4926,0.4995
6,13264665.3120,5035543.6471,0.4517,0.5054,0.4693,0.5054
7,15033398.9817,8008531.5000,0.5085,0.5299,0.5173,0.5299
8,16440882.6778,4012397.8860,0.4948,0.5346,0.5225,0.5346
9,14048596.3211,14859014.0147,0.4306,0.4872,0.4566,0.4872
10,10890987.7435,15062694.5000,0.4715,0.5063,0.4741,0.5063
11,12252198.7263,22550462.5294,0.4724,0.5169,0.4810,0.5169
12,14858709.4820,11175990.5000,0.3947,0.4875,0.5103,0.4875
13,5653463.0393,7942182.8971,0.4806,0.5227,0.4823,0.5227
14,4512773.9539,4401921.4779,0.5123,0.5435,0.5255,0.5435
15,4266793.2608,5392389.1287,0.4494,0.5160,0.5984,0.5160
16,5043660.4679,10121028.6471,0.4777,0.5546,0.4978,0.5546
17,2416981.4386,3515724.9449,0.4675,0.5016,0.5961,0.5016
18,2012992.0206,1553324.7941,0.5261,0.5574,0.5431,0.5574
19,2765816.1430,6139084.5074,0.4868,0.5319,0.4951,0.5319
20,2156487.6743,3270806.2537,0.4701,0.5086,0.5909,0.5086
21,3264708.0568,960549.6232,0.5289,0.5636,0.5649,0.5636
22,2261588.9728,3312792.6801,0.4801,0.5143,0.6050,0.5143
23,2538758.3404,2334893.3456,0.4775,0.5147,0.6025,0.5147
24,2584406.6983,2092246.6507,0.4684,0.5114,0.5949,0.5114
25,3734537.5528,10231184.5588,0.5203,0.5560,0.5121,0.5560
26,1561499.3233,1608224.0772,0.5276,0.5582,0.5286,0.5582
27,766307.9750,604202.2289,0.5556,0.5726,0.5571,0.5726
28,656865.9754,2771532.0055,0.4672,0.5190,0.5949,0.5190
29,1514735.1917,1953618.2169,0.5438,0.5654,0.5443,0.5654
30,1023667.0120,1140082.5386,0.5493,0.5740,0.5502,0.5740
31,1194661.2970,2100097.5956,0.4881,0.5294,0.6077,0.5294
32,433928.6702,534409.0069,0.4811,0.5112,0.6007,0.5112
33,366530.3862,385117.8223,0.6256,0.6348,0.6266,0.6348
34,376062.5887,441972.0519,0.4936,0.5259,0.6122,0.5259
35,270329.4470,461298.1365,0.5568,0.5668,0.5697,0.5668
36,299468.2159,470363.2537,0.5889,0.5944,0.6021,0.5944
37,384416.0565,615310.7916,0.6460,0.6535,0.6468,0.6535
38,207255.6517,198008.0034,0.4998,0.5293,0.6069,0.5293
39,158530.2578,59885.3155,0.6371,0.6476,0.6396,0.6476
40,109518.3042,198203.0790,0.4993,0.5286,0.6104,0.5286
41,177696.6469,402236.2514,0.5685,0.5850,0.5770,0.5850
42,100635.9379,268635.3357,0.5927,0.5922,0.6122,0.5922
43,125128.4799,290431.8973,0.6040,0.6161,0.6056,0.6161
44,33901.8028,62269.6302,0.6060,0.6054,0.6261,0.6054
45,43612.9913,45057.9343,0.6205,0.6302,0.6185,0.6302
46,46176.8843,30183.8291,0.6319,0.6315,0.6383,0.6315
47,39247.8496,78988.0314,0.6203,0.6295,0.6187,0.6295
48,63743.6394,137620.9180,0.5693,0.5792,0.5818,0.5792
49,59833.0578,36793.3528,0.5857,0.5841,0.6105,0.5841
50,43114.4780,49148.8217,0.5531,0.5614,0.6029,0.5614
51,18109.2399,9450.5737,0.6413,0.6451,0.6390,0.6451
52,20247.8681,30611.4020,0.6418,0.6448,0.6481,0.6448
53,21120.2357,14441.7466,0.6413,0.6444,0.6387,0.6444
54,23909.7980,48433.2633,0.6437,0.6451,0.6436,0.6451
55,18110.7235,19480.5650,0.6237,0.6253,0.6248,0.6253
56,10844.8129,16283.1047,0.6127,0.6140,0.6292,0.6140
57,16068.8634,14235.2487,0.6479,0.6503,0.6482,0.6503
58,8621.8793,8741.7872,0.6483,0.6522,0.6455,0.6522
59,9847.0607,15981.0775,0.6348,0.6395,0.6314,0.6395
60,12022.6431,12903.6828,0.6485,0.6510,0.6467,0.6510
61,11219.6136,31999.5082,0.6445,0.6519,0.6418,0.6519
62,10642.7444,18679.4157,0.6405,0.6474,0.6368,0.6474
63,10183.7823,7256.1846,0.6476,0.6520,0.6443,0.6520
64,8075.1164,14388.0502,0.6492,0.6553,0.6465,0.6553
65,9909.1841,11239.5283,0.6442,0.6493,0.6410,0.6493
66,8477.8548,11107.2469,0.6510,0.6534,0.6512,0.6534
67,9577.6122,11452.5263,0.6465,0.6521,0.6428,0.6521
68,7522.0873,8737.0612,0.6499,0.6526,0.6482,0.6526
69,7190.0194,10340.9677,0.6542,0.6567,0.6532,0.6567
70,7188.0906,9367.0400,0.6509,0.6535,0.6499,0.6535
71,8099.3098,13454.3340,0.6516,0.6537,0.6506,0.6537
72,6919.7415,6383.5571,0.6501,0.6542,0.6474,0.6542
73,6644.1455,6699.2711,0.6491,0.6534,0.6461,0.6534
74,6699.5072,6221.6868,0.6486,0.6526,0.6461,0.6526
75,6700.7229,6265.8161,0.6516,0.6555,0.6493,0.6555
76,6842.2051,6469.1883,0.6501,0.6539,0.6473,0.6539
77,6755.8237,7481.0969,0.6537,0.6570,0.6517,0.6570
78,6976.9256,7589.0456,0.6498,0.6526,0.6482,0.6526
79,6439.3548,6368.0534,0.6510,0.6545,0.6487,0.6545
80,6643.7327,6459.0154,0.6469,0.6508,0.6446,0.6508
81,6905.4072,11075.8281,0.6466,0.6515,0.6436,0.6515
82,6586.3425,6351.0005,0.6502,0.6538,0.6482,0.6538
83,6492.8929,7037.7057,0.6498,0.6529,0.6474,0.6529
84,6410.1796,6190.1804,0.6494,0.6534,0.6470,0.6534
