epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.8752,0.5848,0.5831,0.6673,0.6027,0.6673
2,0.5778,0.5448,0.6780,0.7196,0.7683,0.7196
3,0.7277,0.5595,0.5946,0.6749,0.8047,0.6749
4,0.5527,0.5156,0.6733,0.7238,0.7814,0.7238
5,0.5169,0.5186,0.6895,0.7325,0.7725,0.7325
6,0.5136,0.5097,0.7024,0.7317,0.7409,0.7317
7,0.5101,0.5172,0.6787,0.7249,0.7700,0.7249
8,0.5001,0.4960,0.6984,0.7361,0.7656,0.7361
9,0.4970,0.5183,0.6220,0.6639,0.6359,0.6639
10,0.4889,0.4891,0.7379,0.7551,0.7598,0.7551
11,0.4989,0.4843,0.7386,0.7542,0.7582,0.7542
12,0.4923,0.5065,0.6858,0.7259,0.7605,0.7259
13,0.4927,0.4797,0.7477,0.7625,0.7696,0.7625
14,0.5060,0.6197,0.6219,0.6694,0.6390,0.6694
15,0.5415,0.5210,0.7032,0.7300,0.7392,0.7300
16,0.5040,0.5138,0.7009,0.7357,0.7577,0.7357
17,0.8334,0.6234,0.5734,0.6669,0.6243,0.6669
18,0.6034,0.5342,0.6627,0.7184,0.7851,0.7184
19,0.5279,0.5069,0.7047,0.7333,0.7415,0.7333
20,0.5200,0.5065,0.7067,0.7321,0.7373,0.7321
21,0.5067,0.4893,0.7036,0.7375,0.7582,0.7375
22,0.4821,0.4817,0.7577,0.7623,0.7604,0.7623
23,0.4716,0.4593,0.7602,0.7707,0.7701,0.7707
24,0.4668,0.4501,0.7719,0.7756,0.7704,0.7756
25,0.4757,0.4570,0.7692,0.7772,0.7745,0.7772
26,0.4680,0.4604,0.7602,0.7771,0.7916,0.7771
27,0.4710,0.4665,0.7651,0.7733,0.7693,0.7733
28,0.4609,0.4568,0.7768,0.7823,0.7816,0.7823
29,0.4414,0.4307,0.7713,0.7867,0.8071,0.7867
30,0.4317,0.4254,0.7708,0.7863,0.8047,0.7863
31,0.4277,0.4247,0.7784,0.7846,0.7811,0.7846
32,0.4212,0.4094,0.7918,0.8013,0.8111,0.8013
33,0.4251,0.4491,0.7567,0.7775,0.8073,0.7775
34,0.4176,0.4052,0.7980,0.8042,0.8027,0.8042
35,0.4220,0.4293,0.7786,0.7903,0.8052,0.7903
36,0.4172,0.4034,0.7931,0.8044,0.8218,0.8044
37,0.4136,0.4103,0.7937,0.8018,0.8079,0.8018
38,0.4088,0.4169,0.7788,0.7902,0.8001,0.7902
39,0.4029,0.4169,0.7830,0.7876,0.7838,0.7876
40,0.4056,0.3933,0.7991,0.8065,0.8100,0.8065
41,0.3991,0.3974,0.7937,0.7984,0.7979,0.7984
42,0.3921,0.3850,0.8010,0.8091,0.8167,0.8091
43,0.3941,0.3931,0.7963,0.8024,0.8074,0.8024
44,0.3973,0.4110,0.7844,0.7925,0.8022,0.7925
45,0.3886,0.4001,0.7669,0.7786,0.7831,0.7786
46,0.3924,0.3872,0.8006,0.8076,0.8110,0.8076
47,0.3763,0.3807,0.7951,0.8042,0.8192,0.8042
48,0.3751,0.3742,0.7985,0.8077,0.8193,0.8077
49,0.3707,0.3741,0.8052,0.8106,0.8149,0.8106
50,0.3690,0.3740,0.8086,0.8121,0.8189,0.8121
51,0.3687,0.3768,0.8021,0.8096,0.8205,0.8096
52,0.3667,0.3880,0.8039,0.8113,0.8203,0.8113
53,0.3663,0.3644,0.8139,0.8195,0.8274,0.8195
54,0.3613,0.3719,0.7901,0.7978,0.8064,0.7978
55,0.3687,0.3719,0.8087,0.8123,0.8137,0.8123
56,0.3585,0.3592,0.8172,0.8235,0.8390,0.8235
57,0.3558,0.3651,0.8122,0.8172,0.8155,0.8172
58,0.3611,0.3660,0.8078,0.8143,0.8200,0.8143
59,0.3563,0.3701,0.8114,0.8161,0.8194,0.8161
60,0.3574,0.3849,0.7919,0.8048,0.8304,0.8048
61,0.3587,0.3590,0.8146,0.8197,0.8236,0.8197
62,0.3477,0.3529,0.8237,0.8272,0.8266,0.8272
63,0.3438,0.3581,0.8050,0.8090,0.8080,0.8090
64,0.3437,0.3527,0.8183,0.8213,0.8266,0.8213
65,0.3410,0.3529,0.8188,0.8244,0.8299,0.8244
66,0.3389,0.3535,0.8236,0.8288,0.8430,0.8288
67,0.3422,0.3500,0.8288,0.8314,0.8286,0.8314
68,0.3389,0.3513,0.8260,0.8282,0.8265,0.8282
69,0.3367,0.3531,0.8248,0.8287,0.8311,0.8287
70,0.3361,0.3527,0.8230,0.8269,0.8380,0.8269
71,0.3360,0.3484,0.8258,0.8295,0.8328,0.8295
72,0.3319,0.3499,0.8221,0.8269,0.8372,0.8269
73,0.3344,0.3456,0.8229,0.8272,0.8300,0.8272
74,0.3355,0.3453,0.8303,0.8346,0.8369,0.8346
75,0.3332,0.3481,0.8311,0.8353,0.8396,0.8353
76,0.3311,0.3446,0.8295,0.8329,0.8394,0.8329
77,0.3317,0.3453,0.8291,0.8328,0.8380,0.8328
78,0.3303,0.3399,0.8327,0.8362,0.8389,0.8362
79,0.3317,0.3455,0.8256,0.8276,0.8257,0.8276
80,0.3286,0.3398,0.8389,0.8429,0.8476,0.8429
81,0.3271,0.3640,0.8087,0.8132,0.8132,0.8132
82,0.3291,0.3416,0.8305,0.8332,0.8349,0.8332
83,0.3314,0.3534,0.8266,0.8291,0.8289,0.8291
84,0.3294,0.3414,0.8313,0.8341,0.8409,0.8341
85,0.3189,0.3420,0.8250,0.8266,0.8247,0.8266
86,0.3169,0.3345,0.8333,0.8360,0.8361,0.8360
87,0.3166,0.3341,0.8376,0.8407,0.8451,0.8407
88,0.3162,0.3425,0.8372,0.8412,0.8446,0.8412
89,0.3146,0.3307,0.8386,0.8420,0.8439,0.8420
90,0.3115,0.3290,0.8385,0.8411,0.8383,0.8411
91,0.3119,0.3281,0.8357,0.8382,0.8363,0.8382
92,0.3111,0.3291,0.8348,0.8372,0.8368,0.8372
93,0.3116,0.3276,0.8381,0.8412,0.8430,0.8412
94,0.3095,0.3318,0.8404,0.8442,0.8478,0.8442
95,0.3092,0.3311,0.8412,0.8440,0.8462,0.8440
96,0.3066,0.3356,0.8348,0.8380,0.8366,0.8380
97,0.3083,0.3326,0.8321,0.8350,0.8319,0.8350
98,0.3033,0.3217,0.8434,0.8461,0.8463,0.8461
99,0.3008,0.3223,0.8429,0.8458,0.8466,0.8458
100,0.3014,0.3211,0.8437,0.8466,0.8479,0.8466
