epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.8364,0.6484,0.6682,0.7026,0.7116,0.7026
2,0.5955,0.6407,0.6819,0.6934,0.6889,0.6934
3,0.5586,0.5627,0.5686,0.6632,0.5077,0.6632
4,0.5907,0.6173,0.6728,0.7065,0.7146,0.7065
5,0.6422,0.8386,0.5325,0.6261,0.4920,0.6261
6,0.6390,0.6156,0.6535,0.7010,0.7834,0.7010
7,0.6249,0.6056,0.6930,0.7138,0.7136,0.7138
8,0.5544,0.5710,0.6811,0.7175,0.7510,0.7175
9,0.5396,0.5657,0.6903,0.7248,0.7569,0.7248
10,0.5371,0.5564,0.6920,0.7239,0.7590,0.7239
11,0.5414,0.5818,0.6962,0.7250,0.7712,0.7250
12,0.5323,0.5568,0.7060,0.7257,0.7261,0.7257
13,0.5356,0.5723,0.6993,0.7335,0.7793,0.7335
14,0.5391,0.5588,0.7072,0.7304,0.7469,0.7304
15,0.5134,0.5565,0.7057,0.7222,0.7198,0.7222
16,0.5140,0.5456,0.6962,0.7278,0.7553,0.7278
17,0.5038,0.5217,0.7142,0.7232,0.7275,0.7232
18,0.4967,0.5205,0.7413,0.7489,0.7447,0.7489
19,0.5072,0.5373,0.7172,0.7328,0.7300,0.7328
20,0.4989,0.5363,0.7217,0.7396,0.7589,0.7396
21,0.4989,0.5304,0.7279,0.7461,0.7675,0.7461
22,0.4958,0.5227,0.7331,0.7506,0.7562,0.7506
23,0.4831,0.5282,0.7459,0.7510,0.7448,0.7510
24,0.4771,0.5051,0.7348,0.7554,0.7741,0.7554
25,0.4664,0.5027,0.7644,0.7715,0.7706,0.7715
26,0.4716,0.4936,0.7551,0.7655,0.7661,0.7655
27,0.4679,0.4969,0.7541,0.7645,0.7658,0.7645
28,0.4713,0.4951,0.7446,0.7641,0.7800,0.7641
29,0.4685,0.4945,0.7580,0.7695,0.7721,0.7695
30,0.4611,0.4921,0.7513,0.7641,0.7707,0.7641
31,0.4664,0.4822,0.7630,0.7741,0.7795,0.7741
32,0.4573,0.4767,0.7679,0.7762,0.7799,0.7762
33,0.4595,0.4922,0.7639,0.7714,0.7665,0.7714
34,0.4521,0.4905,0.7564,0.7717,0.7829,0.7717
35,0.4630,0.4991,0.7495,0.7641,0.7695,0.7641
36,0.4532,0.4736,0.7685,0.7754,0.7708,0.7754
37,0.4470,0.4797,0.7704,0.7759,0.7736,0.7759
38,0.4471,0.4659,0.7643,0.7787,0.7946,0.7787
39,0.4420,0.4647,0.7644,0.7754,0.7792,0.7754
40,0.4452,0.4909,0.7606,0.7635,0.7592,0.7635
41,0.4410,0.4538,0.7832,0.7887,0.7844,0.7887
42,0.4336,0.4622,0.7723,0.7749,0.7709,0.7749
43,0.4338,0.4650,0.7703,0.7806,0.7886,0.7806
44,0.4421,0.4684,0.7761,0.7796,0.7750,0.7796
45,0.4349,0.4626,0.7773,0.7800,0.7768,0.7800
46,0.4223,0.4496,0.7856,0.7894,0.7861,0.7894
47,0.4259,0.4477,0.7765,0.7814,0.7759,0.7814
48,0.4242,0.4578,0.7793,0.7840,0.7810,0.7840
49,0.4205,0.4402,0.7783,0.7849,0.7856,0.7849
50,0.4180,0.4509,0.7755,0.7816,0.7838,0.7816
