epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.8554,0.7163,0.5999,0.6436,0.5912,0.6436
2,0.7052,0.7443,0.5976,0.6488,0.6023,0.6488
3,0.6917,0.7156,0.6040,0.6608,0.6473,0.6608
4,0.6684,0.6899,0.5981,0.6545,0.6345,0.6545
5,0.6630,0.6492,0.6351,0.6837,0.6751,0.6837
6,0.6560,0.6439,0.6507,0.6851,0.6313,0.6851
7,0.6476,0.6884,0.5944,0.6555,0.6462,0.6555
8,0.6461,0.6457,0.6545,0.6886,0.6429,0.6886
9,0.6566,0.6588,0.6172,0.6580,0.6082,0.6580
10,0.6711,0.6678,0.6350,0.6688,0.6200,0.6688
11,0.6249,0.6444,0.6458,0.6810,0.6329,0.6810
12,0.6214,0.6270,0.6498,0.6843,0.6320,0.6843
13,0.6096,0.6213,0.6618,0.6959,0.6434,0.6959
14,0.6092,0.6332,0.6560,0.6936,0.6464,0.6936
15,0.6077,0.6267,0.6511,0.6805,0.6380,0.6805
16,0.6062,0.6176,0.6546,0.6929,0.6420,0.6929
17,0.6063,0.6251,0.6517,0.6838,0.6323,0.6838
18,0.6086,0.6060,0.6684,0.7028,0.6518,0.7028
19,0.6095,0.6045,0.6569,0.7007,0.6761,0.7007
20,0.5960,0.6121,0.6494,0.6940,0.6657,0.6940
21,0.6042,0.6373,0.6458,0.6862,0.6417,0.6862
22,0.5924,0.5941,0.6687,0.7074,0.6629,0.7074
23,0.6032,0.6326,0.6492,0.6799,0.6307,0.6799
24,0.6003,0.6073,0.6700,0.7017,0.6502,0.7017
25,0.5834,0.6036,0.6596,0.6971,0.6499,0.6971
26,0.5906,0.6064,0.6776,0.7112,0.6594,0.7112
27,0.5667,0.5854,0.6847,0.7188,0.6668,0.7188
28,0.5600,0.5640,0.6895,0.7238,0.6725,0.7238
29,0.5532,0.5595,0.6909,0.7261,0.6772,0.7261
30,0.5484,0.5481,0.6941,0.7307,0.6907,0.7307
31,0.5487,0.5542,0.6963,0.7288,0.6776,0.7288
32,0.5496,0.5679,0.6872,0.7206,0.6679,0.7206
33,0.5529,0.5533,0.6980,0.7307,0.6786,0.7307
34,0.5412,0.5432,0.7032,0.7367,0.6866,0.7367
35,0.5364,0.5455,0.6923,0.7251,0.6737,0.7251
36,0.5394,0.5498,0.7036,0.7373,0.6867,0.7373
37,0.5307,0.5525,0.6837,0.7203,0.6736,0.7203
38,0.5316,0.5296,0.7079,0.7409,0.6892,0.7409
39,0.5253,0.5590,0.6947,0.7320,0.7060,0.7320
40,0.5240,0.5341,0.7022,0.7358,0.6852,0.7358
41,0.5287,0.5348,0.7120,0.7445,0.6934,0.7445
42,0.5213,0.5516,0.6954,0.7288,0.6793,0.7288
