epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,4.3651,3.5401,0.2667,0.4052,0.2713,0.4052
2,2.7488,22.0823,0.0927,0.1206,0.3296,0.1206
3,2.3392,14.1295,0.2482,0.4113,0.1822,0.4113
4,1.8483,11.6407,0.0338,0.1387,0.0192,0.1387
5,1.3630,17.8950,0.0830,0.2255,0.0509,0.2255
6,1.0200,8.9525,0.1465,0.3082,0.0964,0.3082
7,1.0086,4.0997,0.1564,0.2848,0.1289,0.2848
8,1.0065,3.4069,0.2123,0.3640,0.2300,0.3640
9,1.0033,2.4076,0.1935,0.3632,0.1319,0.3632
10,1.0023,3.0422,0.0332,0.0948,0.0740,0.0948
11,1.0016,9.1518,0.0127,0.0831,0.0069,0.0831
12,1.0001,8.9885,0.0958,0.1387,0.0732,0.1387
13,1.0001,5.9492,0.1466,0.3085,0.0964,0.3085
14,0.9993,5.2074,0.0585,0.1516,0.1626,0.1516
15,0.9968,4.5183,0.2482,0.4113,0.1822,0.4113
16,0.9957,1.2581,0.2604,0.4169,0.2473,0.4169
17,0.9945,3.5713,0.2482,0.4113,0.1822,0.4113
18,0.9971,5.1528,0.2482,0.4113,0.1823,0.4113
19,0.9958,3.9325,0.2081,0.3642,0.1521,0.3642
20,0.9982,6.0722,0.2479,0.4108,0.1822,0.4108
21,0.9953,1.1669,0.2530,0.4104,0.2358,0.4104
22,0.9951,2.7611,0.2552,0.4188,0.2291,0.4188
23,0.9947,4.8440,0.2081,0.3642,0.1521,0.3642
24,0.9941,2.5201,0.1935,0.3632,0.1319,0.3632
25,0.9943,14.1154,0.0338,0.1387,0.0192,0.1387
26,0.9940,3.4366,0.2081,0.3642,0.1521,0.3642
27,0.9927,1.4182,0.2568,0.4123,0.2875,0.4123
28,0.9931,1.2298,0.2482,0.4113,0.1823,0.4113
29,0.9946,3.7757,0.1867,0.3557,0.1266,0.3557
30,0.9929,1.8349,0.2789,0.4100,0.2444,0.4100
31,0.9927,1.6712,0.2081,0.3642,0.1521,0.3642
