epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,1.0099,1.2500,0.2515,0.3854,0.2418,0.3854
2,1.0041,0.9903,0.4082,0.4883,0.4354,0.4883
3,0.9671,1.0421,0.2327,0.3602,0.2600,0.3602
4,1.0517,1.0734,0.2625,0.4036,0.2470,0.4036
5,1.0413,1.1760,0.2805,0.4126,0.2453,0.4126
6,1.0223,1.0342,0.2598,0.4121,0.3087,0.4121
7,1.0056,0.9965,0.2997,0.4311,0.3412,0.4311
8,0.9966,0.9976,0.2769,0.4114,0.3889,0.4114
9,0.9975,0.9971,0.2462,0.4011,0.1955,0.4011
10,0.9992,0.9958,0.3099,0.4234,0.4314,0.4234
11,1.0134,0.9950,0.3117,0.4334,0.3656,0.4334
12,0.9960,0.9954,0.3044,0.4243,0.3143,0.4243
