epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,5.8434,4.9066,0.2244,0.3813,0.1607,0.3813
2,5.8297,3.1229,0.2230,0.3797,0.1600,0.3797
3,3.4361,3.1984,0.1183,0.2745,0.0754,0.2745
4,1.7481,1.5538,0.2435,0.4069,0.1779,0.4069
5,4.2766,7.1896,0.1183,0.2745,0.0754,0.2745
6,3.8950,1.9570,0.1193,0.2758,0.0761,0.2758
7,2.6750,1.5641,0.1183,0.2745,0.0754,0.2745
8,2.4316,1.6413,0.1193,0.2758,0.0761,0.2758
9,2.3056,1.5519,0.1183,0.2745,0.0754,0.2745
10,2.2468,1.6113,0.1183,0.2745,0.0754,0.2745
11,2.2155,1.5438,0.1193,0.2758,0.0761,0.2758
12,2.1508,1.5812,0.1193,0.2758,0.0761,0.2758
13,2.1058,1.5487,0.1183,0.2745,0.0754,0.2745
14,2.1199,1.5316,0.1183,0.2745,0.0754,0.2745
15,2.0556,1.5427,0.1183,0.2745,0.0754,0.2745
16,2.0223,1.5981,0.1183,0.2745,0.0754,0.2745
17,1.8907,1.6595,0.1183,0.2745,0.0754,0.2745
18,1.6603,1.5540,0.0885,0.2337,0.0546,0.2337
19,1.5766,1.5259,0.1193,0.2758,0.0761,0.2758
20,1.5531,1.5279,0.1193,0.2758,0.0761,0.2758
21,1.5507,1.5271,0.1193,0.2758,0.0761,0.2758
22,1.5492,1.5243,0.1193,0.2758,0.0761,0.2758
23,1.5380,1.5290,0.1193,0.2758,0.0761,0.2758
24,1.5363,1.5304,0.1193,0.2758,0.0761,0.2758
25,1.5319,1.5286,0.1193,0.2758,0.0761,0.2758
26,1.5310,1.5249,0.1183,0.2745,0.0754,0.2745
27,1.5280,1.5251,0.1193,0.2758,0.0761,0.2758
28,1.5276,1.5245,0.1193,0.2758,0.0761,0.2758
29,1.5305,1.5242,0.1183,0.2745,0.0754,0.2745
30,1.5299,1.5246,0.1193,0.2758,0.0761,0.2758
31,1.5375,1.5245,0.1193,0.2758,0.0761,0.2758
32,1.5276,1.5239,0.1183,0.2745,0.0754,0.2745
33,1.5268,1.5245,0.1193,0.2758,0.0761,0.2758
34,1.5320,1.5257,0.1193,0.2758,0.0761,0.2758
35,1.5270,1.5256,0.1193,0.2758,0.0761,0.2758
36,1.5258,1.5252,0.1193,0.2758,0.0761,0.2758
37,1.5261,1.5249,0.1183,0.2745,0.0754,0.2745
38,1.5271,1.5242,0.1193,0.2758,0.0761,0.2758
39,1.5259,1.5244,0.1193,0.2758,0.0761,0.2758
40,1.5257,1.5243,0.1193,0.2758,0.0761,0.2758
41,1.5343,1.5246,0.1193,0.2758,0.0761,0.2758
42,1.5272,1.5243,0.1193,0.2758,0.0761,0.2758
