epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,157408025.1379,14304398.3395,0.5624,0.5977,0.5449,0.5977
2,105611624.8966,7265949.6644,0.5574,0.5866,0.5496,0.5866
3,90422815.8621,13199026.5059,0.5676,0.5982,0.5641,0.5982
4,81251995.9655,22179646.0588,0.5969,0.6289,0.5771,0.6289
5,71165331.0690,12805760.8477,0.5664,0.6015,0.5468,0.6015
6,61710838.7414,11769232.4471,0.5635,0.5915,0.5512,0.5915
7,54736011.6724,19751210.0614,0.5560,0.6144,0.6097,0.6144
8,51277263.9655,11955382.6642,0.5824,0.6184,0.5846,0.6184
9,46453561.7759,15939207.4919,0.5528,0.5885,0.5683,0.5885
10,44160414.2241,11348812.9415,0.5549,0.5877,0.5633,0.5877
11,38466515.5345,9054189.6752,0.4893,0.5248,0.4973,0.5248
12,37903827.2931,9275843.7605,0.5243,0.5544,0.5216,0.5544
13,35731647.1638,2332721.1512,0.5279,0.5624,0.5308,0.5624
14,33406549.6379,16135420.1760,0.5181,0.5539,0.5181,0.5539
15,32334218.9310,6010459.1359,0.5621,0.5902,0.5751,0.5902
16,29866558.0690,2485659.5126,0.4892,0.5193,0.5335,0.5193
17,28147336.1121,4640628.8257,0.5582,0.5894,0.5706,0.5894
18,27246540.6466,6739934.8617,0.5520,0.5827,0.5393,0.5827
19,25755838.1810,3432521.2649,0.5488,0.5753,0.5571,0.5753
20,24764661.2241,3930229.5442,0.5370,0.5654,0.5248,0.5654
21,24232216.9914,6478986.5348,0.5225,0.5498,0.5398,0.5498
22,23222278.6983,4435987.7349,0.5523,0.5783,0.5645,0.5783
23,22646859.6552,6351426.4027,0.5519,0.5802,0.5428,0.5802
24,21496455.8966,3741311.1190,0.5512,0.5782,0.5666,0.5782
25,22717770.4828,4509186.2075,0.5461,0.5746,0.5329,0.5746
26,21515573.1810,4494831.1025,0.5497,0.5785,0.5362,0.5785
27,21870630.8448,1920064.4080,0.5558,0.5825,0.5662,0.5825
28,21367611.6121,1747404.1528,0.5545,0.5844,0.5410,0.5844
29,21508730.6293,3919056.7570,0.5481,0.5750,0.5639,0.5750
30,20518057.4397,2804761.6659,0.5469,0.5725,0.5633,0.5725
31,20092250.5345,3655805.3871,0.5492,0.5782,0.5351,0.5782
32,21088454.2155,2976546.2113,0.5372,0.5655,0.5253,0.5655
33,20125000.1897,3502066.9973,0.5526,0.5805,0.5475,0.5805
34,20252868.6853,2519729.3806,0.5552,0.5804,0.5640,0.5804
35,19229802.1638,3171188.1349,0.5563,0.5816,0.5660,0.5816
36,20018612.0129,1999453.3036,0.5548,0.5800,0.5655,0.5800
37,19647972.2112,3138779.9926,0.5453,0.5734,0.5334,0.5734
38,19578916.7672,2730609.6601,0.5427,0.5673,0.5537,0.5673
39,19326915.2155,2592556.3419,0.5501,0.5773,0.5454,0.5773
40,19459930.0991,3452918.2511,0.5459,0.5744,0.5326,0.5744
41,19532092.4828,2899244.4827,0.5513,0.5789,0.5419,0.5789
42,19393752.3621,2605154.7896,0.5467,0.5746,0.5352,0.5746
43,19678219.3491,2627320.0880,0.5489,0.5769,0.5374,0.5769
44,19141266.5000,2920616.7822,0.5512,0.5772,0.5606,0.5772
45,20099042.9914,2803304.2609,0.5513,0.5771,0.5604,0.5771
46,18736147.4353,2835463.3679,0.5513,0.5769,0.5613,0.5769
47,18922834.1121,2583606.9513,0.5512,0.5770,0.5613,0.5770
48,19535632.4741,2708240.4013,0.5501,0.5757,0.5600,0.5757
49,18854375.6293,2665224.8560,0.5512,0.5769,0.5611,0.5769
50,20068282.8060,2648956.3676,0.5508,0.5765,0.5612,0.5765
51,19355486.4655,2740289.2993,0.5501,0.5757,0.5606,0.5757
