epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,44889727.7836,3053140.7604,0.7858,0.7960,0.7775,0.7960
2,3826168.8760,4126803.1389,0.7625,0.7410,0.7962,0.7410
3,3964379.9190,1958034.2361,0.8418,0.8496,0.8406,0.8496
4,4356807.7344,3373614.1111,0.8034,0.8056,0.8203,0.8056
5,5827396.7635,4985074.2247,0.7839,0.7753,0.8231,0.7753
6,2790902.4158,6763902.3368,0.8439,0.8659,0.8387,0.8659
7,6044742.8540,8817047.4876,0.8392,0.8663,0.8247,0.8663
8,2556094.3691,882386.5518,0.8299,0.8347,0.8274,0.8347
9,1352889.5407,2486843.5181,0.8420,0.8289,0.8705,0.8289
10,2705544.6369,4568895.4347,0.8632,0.8712,0.8584,0.8712
11,2496632.3598,10607886.7778,0.8398,0.8448,0.8429,0.8448
12,4651835.5233,586808.9479,0.8635,0.8580,0.8733,0.8580
13,3300845.9058,1276195.2847,0.8946,0.8980,0.8924,0.8980
14,3944022.3534,3198670.1724,0.8930,0.8958,0.8914,0.8958
15,2889159.5087,2699908.0278,0.8790,0.8738,0.8988,0.8738
16,1387800.3520,2017105.8670,0.8927,0.8949,0.8990,0.8949
17,1880792.7475,1490953.8804,0.8847,0.8918,0.8844,0.8918
18,881147.3383,1557821.9480,0.8819,0.8927,0.8810,0.8927
19,1002525.3683,2214512.4306,0.8775,0.8747,0.8820,0.8747
20,997406.4652,1837120.6994,0.8724,0.8676,0.8889,0.8676
21,620847.2902,276440.8467,0.8883,0.8975,0.8865,0.8975
22,405237.1044,690796.9538,0.9006,0.9055,0.9029,0.9055
23,341724.2764,1932559.8056,0.8710,0.8712,0.8739,0.8712
24,1069838.3276,1044052.4680,0.9035,0.9059,0.9036,0.9059
25,929872.4368,1816193.7464,0.9009,0.9041,0.8999,0.9041
26,698193.1087,99105.5782,0.9059,0.9085,0.9043,0.9085
27,424392.4465,552712.6696,0.8983,0.9046,0.8968,0.9046
28,353833.7355,485384.1751,0.9002,0.9055,0.8980,0.9055
29,421559.3539,379245.1173,0.8972,0.9041,0.8956,0.9041
30,211280.5008,437426.2641,0.8979,0.9050,0.8963,0.9050
31,213566.3592,144431.9449,0.9051,0.9099,0.9033,0.9099
32,182027.5852,271343.9580,0.9050,0.9094,0.9032,0.9094
