epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.6814,0.4239,0.7855,0.8483,0.7411,0.8483
2,0.4029,0.3925,0.7855,0.8483,0.7411,0.8483
3,0.3973,0.4261,0.7855,0.8483,0.7411,0.8483
4,0.4008,0.3976,0.7855,0.8483,0.7411,0.8483
5,0.4825,0.4257,0.7855,0.8483,0.7411,0.8483
6,0.4125,0.4094,0.7855,0.8483,0.7411,0.8483
7,0.3897,0.3853,0.7855,0.8483,0.7411,0.8483
8,0.3700,0.3971,0.8316,0.8659,0.8201,0.8659
9,0.3278,0.3257,0.8659,0.8879,0.9044,0.8879
10,0.2725,0.2490,0.9130,0.9204,0.9193,0.9204
11,0.2593,0.2235,0.9080,0.9191,0.9146,0.9191
12,0.2349,0.2257,0.9178,0.9244,0.9236,0.9244
13,0.2329,0.2217,0.9239,0.9296,0.9256,0.9296
14,0.2227,0.2255,0.9111,0.9230,0.9190,0.9230
15,0.2134,0.2358,0.9124,0.9173,0.9117,0.9173
16,0.2335,0.2240,0.9207,0.9257,0.9221,0.9257
17,0.2075,0.2179,0.9024,0.9186,0.9140,0.9186
18,0.2097,0.2655,0.8986,0.8984,0.9008,0.8984
19,0.2255,0.2077,0.9246,0.9318,0.9281,0.9318
20,0.2001,0.2280,0.9127,0.9235,0.9227,0.9235
21,0.2077,0.1992,0.9296,0.9349,0.9310,0.9349
22,0.2121,0.2135,0.9158,0.9252,0.9232,0.9252
23,0.2083,0.2016,0.9289,0.9358,0.9321,0.9358
24,0.2091,0.2089,0.9237,0.9305,0.9263,0.9305
25,0.1905,0.2053,0.9300,0.9354,0.9309,0.9354
26,0.1938,0.2115,0.9197,0.9279,0.9228,0.9279
27,0.1838,0.2240,0.9175,0.9217,0.9166,0.9217
28,0.1888,0.2083,0.9223,0.9301,0.9267,0.9301
29,0.1864,0.2059,0.9020,0.9208,0.9198,0.9208
30,0.1815,0.2019,0.9191,0.9288,0.9236,0.9288
31,0.1754,0.2091,0.9181,0.9279,0.9249,0.9279
32,0.1735,0.2051,0.9290,0.9362,0.9334,0.9362
33,0.1800,0.1944,0.9319,0.9376,0.9347,0.9376
34,0.1719,0.2035,0.9197,0.9301,0.9253,0.9301
35,0.1770,0.2009,0.9199,0.9305,0.9268,0.9305
36,0.1853,0.1972,0.9296,0.9362,0.9324,0.9362
37,0.1798,0.1961,0.9286,0.9349,0.9312,0.9349
38,0.1648,0.2001,0.9310,0.9376,0.9354,0.9376
39,0.1651,0.1871,0.9279,0.9354,0.9316,0.9354
40,0.1597,0.1901,0.9265,0.9349,0.9310,0.9349
41,0.1581,0.1898,0.9302,0.9367,0.9330,0.9367
42,0.1599,0.1882,0.9274,0.9327,0.9271,0.9327
43,0.1579,0.1905,0.9278,0.9358,0.9318,0.9358
44,0.1546,0.1906,0.9281,0.9358,0.9311,0.9358
45,0.1549,0.1981,0.9293,0.9371,0.9349,0.9371
46,0.1538,0.1925,0.9278,0.9345,0.9290,0.9345
47,0.1476,0.1923,0.9308,0.9376,0.9338,0.9376
48,0.1472,0.1986,0.9258,0.9345,0.9325,0.9345
49,0.1459,0.1917,0.9312,0.9380,0.9335,0.9380
50,0.1460,0.1959,0.9253,0.9332,0.9279,0.9332
51,0.1458,0.1992,0.9264,0.9354,0.9327,0.9354
52,0.1429,0.1957,0.9285,0.9367,0.9337,0.9367
53,0.1490,0.1968,0.9292,0.9376,0.9352,0.9376
54,0.1486,0.1951,0.9299,0.9376,0.9346,0.9376
55,0.1462,0.1976,0.9273,0.9358,0.9336,0.9358
56,0.1475,0.1947,0.9277,0.9358,0.9313,0.9358
57,0.1418,0.1945,0.9281,0.9362,0.9320,0.9362
58,0.1484,0.1948,0.9282,0.9362,0.9317,0.9362
59,0.1470,0.1950,0.9282,0.9362,0.9317,0.9362
60,0.1421,0.1948,0.9292,0.9371,0.9331,0.9371
61,0.1446,0.1949,0.9283,0.9362,0.9319,0.9362
62,0.1479,0.1947,0.9283,0.9362,0.9319,0.9362
63,0.1408,0.1955,0.9281,0.9362,0.9320,0.9362
64,0.1422,0.1952,0.9284,0.9362,0.9319,0.9362
65,0.1403,0.1955,0.9288,0.9367,0.9326,0.9367
66,0.1436,0.1955,0.9288,0.9367,0.9326,0.9367
67,0.1456,0.1952,0.9288,0.9367,0.9326,0.9367
68,0.1501,0.1953,0.9288,0.9367,0.9326,0.9367
69,0.1449,0.1950,0.9284,0.9362,0.9319,0.9362
70,0.1412,0.1950,0.9275,0.9354,0.9304,0.9354
71,0.1441,0.1952,0.9283,0.9362,0.9319,0.9362
72,0.1439,0.1952,0.9279,0.9358,0.9311,0.9358
73,0.1427,0.1951,0.9275,0.9354,0.9304,0.9354
74,0.1468,0.1953,0.9280,0.9358,0.9311,0.9358
75,0.1412,0.1952,0.9275,0.9354,0.9304,0.9354
76,0.1416,0.1953,0.9275,0.9354,0.9304,0.9354
77,0.1427,0.1953,0.9283,0.9362,0.9319,0.9362
78,0.1462,0.1953,0.9279,0.9358,0.9311,0.9358
79,0.1408,0.1954,0.9283,0.9362,0.9319,0.9362
80,0.1417,0.1953,0.9283,0.9362,0.9319,0.9362
81,0.1435,0.1954,0.9288,0.9367,0.9326,0.9367
82,0.1407,0.1953,0.9283,0.9362,0.9319,0.9362
83,0.1406,0.1954,0.9283,0.9362,0.9319,0.9362
84,0.1395,0.1954,0.9283,0.9362,0.9319,0.9362
85,0.1437,0.1954,0.9283,0.9362,0.9319,0.9362
86,0.1467,0.1954,0.9283,0.9362,0.9319,0.9362
87,0.1435,0.1953,0.9279,0.9358,0.9311,0.9358
