epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,1.0927,0.4776,0.7922,0.8536,0.7480,0.8536
2,0.4243,0.3926,0.7922,0.8536,0.7480,0.8536
3,0.4012,0.3926,0.7922,0.8536,0.7480,0.8536
4,0.3958,0.3925,0.7922,0.8536,0.7480,0.8536
5,0.3864,0.5879,0.7393,0.8004,0.6879,0.8004
6,0.4204,0.4083,0.7922,0.8536,0.7480,0.8536
7,0.4013,0.3914,0.7922,0.8536,0.7480,0.8536
8,0.4068,0.4007,0.7922,0.8536,0.7480,0.8536
9,0.4074,0.4018,0.7922,0.8536,0.7480,0.8536
10,0.3939,0.3880,0.7922,0.8536,0.7480,0.8536
11,0.3812,0.4280,0.8196,0.8395,0.8062,0.8395
12,0.3904,0.5592,0.7644,0.7551,0.8172,0.7551
13,0.3692,0.3230,0.8685,0.8923,0.8475,0.8923
14,0.3050,0.3370,0.8345,0.8628,0.8417,0.8628
15,0.6174,0.4031,0.7922,0.8536,0.7480,0.8536
16,0.4230,0.4085,0.7922,0.8536,0.7480,0.8536
17,0.3986,0.4064,0.7922,0.8536,0.7480,0.8536
18,0.3986,0.3891,0.7922,0.8536,0.7480,0.8536
19,0.3923,0.3929,0.7922,0.8536,0.7480,0.8536
20,0.3896,0.3736,0.7922,0.8536,0.7480,0.8536
21,0.3589,0.4232,0.7934,0.8522,0.7678,0.8522
22,0.3516,0.3335,0.8193,0.8514,0.7941,0.8514
23,0.3261,0.3232,0.8681,0.8918,0.8471,0.8918
24,0.3229,0.3096,0.8685,0.8923,0.8475,0.8923
25,0.3035,0.2893,0.8695,0.8936,0.8482,0.8936
26,0.2876,0.3019,0.8755,0.8953,0.8674,0.8953
27,0.2805,0.2628,0.9020,0.9103,0.9047,0.9103
28,0.2616,0.2811,0.8974,0.8962,0.9021,0.8962
29,0.2424,0.2653,0.9038,0.9081,0.9055,0.9081
30,0.2390,0.2265,0.9088,0.9186,0.9165,0.9186
31,0.2354,0.3023,0.8946,0.8989,0.8973,0.8989
32,0.2529,0.2410,0.9135,0.9230,0.9251,0.9230
33,0.2321,0.2521,0.9095,0.9186,0.9190,0.9186
34,0.2267,0.2596,0.9093,0.9200,0.9233,0.9200
35,0.2218,0.2183,0.9189,0.9274,0.9198,0.9274
36,0.2232,0.2298,0.9266,0.9336,0.9315,0.9336
37,0.2184,0.2197,0.9218,0.9296,0.9235,0.9296
38,0.2054,0.2189,0.9212,0.9292,0.9228,0.9292
39,0.2112,0.2139,0.9224,0.9301,0.9241,0.9301
40,0.2291,0.2252,0.9205,0.9292,0.9245,0.9292
41,0.2110,0.2163,0.9195,0.9274,0.9203,0.9274
42,0.2160,0.2213,0.9237,0.9301,0.9242,0.9301
43,0.2094,0.2134,0.9259,0.9327,0.9299,0.9327
44,0.2129,0.2092,0.9238,0.9305,0.9256,0.9305
45,0.2052,0.2235,0.9175,0.9261,0.9252,0.9261
46,0.2097,0.2114,0.9216,0.9279,0.9224,0.9279
47,0.2060,0.2138,0.9219,0.9296,0.9282,0.9296
48,0.2072,0.2081,0.9248,0.9314,0.9268,0.9314
49,0.2218,0.2292,0.9116,0.9178,0.9175,0.9178
50,0.2195,0.2207,0.9240,0.9310,0.9276,0.9310
51,0.2277,0.2233,0.9180,0.9266,0.9250,0.9266
52,0.2151,0.2147,0.9224,0.9305,0.9266,0.9305
53,0.2109,0.2123,0.9245,0.9323,0.9279,0.9323
54,0.2058,0.2084,0.9264,0.9336,0.9291,0.9336
55,0.2049,0.2116,0.9245,0.9318,0.9282,0.9318
56,0.1961,0.2097,0.9235,0.9314,0.9259,0.9314
