epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.6222,0.4233,0.7792,0.8434,0.7346,0.8434
2,0.4153,0.4230,0.7792,0.8434,0.7346,0.8434
3,0.4257,0.4220,0.7792,0.8434,0.7346,0.8434
4,0.4139,0.4218,0.7792,0.8434,0.7346,0.8434
5,0.3828,0.4460,0.7875,0.7902,0.8116,0.7902
6,0.3717,0.3136,0.8291,0.8698,0.8678,0.8698
7,0.3151,0.3076,0.8667,0.8975,0.8414,0.8975
8,0.4074,0.4434,0.7792,0.8434,0.7346,0.8434
9,0.4116,0.3882,0.7792,0.8434,0.7346,0.8434
10,0.3662,0.3511,0.8139,0.8615,0.7993,0.8615
11,0.3241,0.2873,0.8146,0.8619,0.7998,0.8619
12,0.2757,0.3980,0.8873,0.9024,0.8923,0.9024
13,0.3028,0.2514,0.9153,0.9186,0.9137,0.9186
14,0.2677,0.2759,0.8595,0.8914,0.8807,0.8914
15,0.2542,0.2374,0.8999,0.9063,0.9140,0.9063
16,0.2531,0.2734,0.8438,0.8826,0.8576,0.8826
17,0.2450,0.2366,0.9170,0.9213,0.9170,0.9213
18,0.2457,0.2052,0.9125,0.9230,0.9209,0.9230
19,0.2479,0.2704,0.8856,0.9019,0.8937,0.9019
20,0.2831,0.2440,0.9242,0.9270,0.9231,0.9270
21,0.2381,0.2575,0.9073,0.9173,0.9116,0.9173
22,0.2312,0.2084,0.9295,0.9340,0.9296,0.9340
23,0.2191,0.2213,0.9225,0.9252,0.9210,0.9252
24,0.2288,0.2182,0.9234,0.9261,0.9219,0.9261
25,0.2215,0.2074,0.9222,0.9274,0.9243,0.9274
26,0.2173,0.2261,0.9148,0.9160,0.9139,0.9160
27,0.2215,0.2024,0.9293,0.9332,0.9290,0.9332
28,0.2116,0.2104,0.9251,0.9310,0.9263,0.9310
29,0.2127,0.2074,0.9294,0.9336,0.9295,0.9336
30,0.2323,0.2180,0.9179,0.9182,0.9176,0.9182
31,0.2160,0.2073,0.9278,0.9332,0.9298,0.9332
32,0.2110,0.2026,0.9301,0.9349,0.9315,0.9349
33,0.2039,0.2016,0.9306,0.9354,0.9322,0.9354
34,0.2092,0.1998,0.9309,0.9358,0.9331,0.9358
35,0.2063,0.2013,0.9298,0.9340,0.9304,0.9340
36,0.2033,0.2083,0.9238,0.9261,0.9223,0.9261
37,0.2097,0.2029,0.9262,0.9292,0.9250,0.9292
38,0.2217,0.2182,0.9155,0.9156,0.9154,0.9156
39,0.2146,0.2115,0.9167,0.9173,0.9161,0.9173
40,0.2102,0.2024,0.9269,0.9301,0.9258,0.9301
41,0.2027,0.2026,0.9277,0.9310,0.9266,0.9310
42,0.2057,0.2026,0.9263,0.9292,0.9249,0.9292
43,0.2026,0.2029,0.9260,0.9288,0.9246,0.9288
44,0.2036,0.2029,0.9263,0.9292,0.9249,0.9292
45,0.2047,0.2032,0.9257,0.9283,0.9242,0.9283
46,0.2059,0.2028,0.9264,0.9292,0.9250,0.9292
47,0.2031,0.2030,0.9257,0.9283,0.9242,0.9283
48,0.2070,0.2024,0.9264,0.9292,0.9250,0.9292
49,0.2107,0.2023,0.9266,0.9296,0.9253,0.9296
50,0.2003,0.2021,0.9266,0.9296,0.9253,0.9296
51,0.2073,0.2020,0.9267,0.9296,0.9253,0.9296
52,0.2033,0.2020,0.9267,0.9296,0.9254,0.9296
53,0.1998,0.2019,0.9267,0.9296,0.9254,0.9296
54,0.2103,0.2020,0.9264,0.9292,0.9250,0.9292
55,0.2053,0.2021,0.9264,0.9292,0.9250,0.9292
56,0.2109,0.2022,0.9264,0.9292,0.9250,0.9292
57,0.2020,0.2023,0.9264,0.9292,0.9250,0.9292
58,0.2071,0.2021,0.9267,0.9296,0.9254,0.9296
59,0.2130,0.2021,0.9267,0.9296,0.9254,0.9296
60,0.1997,0.2022,0.9264,0.9292,0.9250,0.9292
61,0.2047,0.2022,0.9264,0.9292,0.9250,0.9292
62,0.2047,0.2023,0.9264,0.9292,0.9250,0.9292
63,0.2118,0.2023,0.9264,0.9292,0.9250,0.9292
64,0.2070,0.2023,0.9264,0.9292,0.9250,0.9292
65,0.2087,0.2023,0.9264,0.9292,0.9250,0.9292
66,0.2052,0.2023,0.9264,0.9292,0.9250,0.9292
67,0.2061,0.2023,0.9264,0.9292,0.9250,0.9292
68,0.2075,0.2023,0.9264,0.9292,0.9250,0.9292
69,0.2088,0.2023,0.9264,0.9292,0.9250,0.9292
70,0.2037,0.2023,0.9264,0.9292,0.9250,0.9292
71,0.2100,0.2023,0.9264,0.9292,0.9250,0.9292
72,0.2127,0.2023,0.9264,0.9292,0.9250,0.9292
73,0.2026,0.2023,0.9264,0.9292,0.9250,0.9292
74,0.1990,0.2022,0.9264,0.9292,0.9250,0.9292
75,0.2032,0.2022,0.9264,0.9292,0.9250,0.9292
76,0.1996,0.2023,0.9264,0.9292,0.9250,0.9292
77,0.2022,0.2022,0.9264,0.9292,0.9250,0.9292
78,0.1996,0.2022,0.9264,0.9292,0.9250,0.9292
79,0.2069,0.2022,0.9264,0.9292,0.9250,0.9292
80,0.2051,0.2023,0.9264,0.9292,0.9250,0.9292
81,0.2004,0.2023,0.9264,0.9292,0.9250,0.9292
82,0.2010,0.2023,0.9264,0.9292,0.9250,0.9292
83,0.2019,0.2023,0.9264,0.9292,0.9250,0.9292
84,0.2028,0.2023,0.9264,0.9292,0.9250,0.9292
