epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,473758008.9375,48541833.1111,0.7941,0.8386,0.7608,0.8386
2,26549574.6966,11517119.8611,0.8228,0.8698,0.8099,0.8698
3,17768393.3929,5200384.5278,0.8549,0.8927,0.8269,0.8927
4,15687713.3675,9088641.2500,0.8583,0.8958,0.8297,0.8958
5,15191908.9766,8347846.4722,0.9138,0.9296,0.9342,0.9296
6,18743512.9141,6549016.5000,0.9174,0.9310,0.9345,0.9310
7,14694505.6526,7318521.0833,0.9397,0.9468,0.9511,0.9468
8,12115224.2945,6433578.2222,0.9164,0.9318,0.9400,0.9318
9,15300509.5646,6630968.3889,0.9382,0.9459,0.9510,0.9459
10,16329082.3581,7133118.1389,0.9558,0.9587,0.9594,0.9587
11,14535966.2358,6541376.3194,0.9533,0.9560,0.9544,0.9560
12,14396873.5824,5818874.5833,0.9543,0.9578,0.9606,0.9578
13,13175387.5644,7934060.8611,0.9515,0.9556,0.9587,0.9556
14,13876904.9246,7501872.8056,0.9554,0.9587,0.9613,0.9587
15,15508735.4827,6304915.0556,0.9563,0.9591,0.9620,0.9591
16,13597257.7333,6727153.2361,0.9561,0.9591,0.9621,0.9591
17,14512126.8482,5845453.5556,0.9556,0.9587,0.9613,0.9587
18,13363463.7620,5859795.9583,0.9560,0.9591,0.9621,0.9591
19,14521919.3168,6446805.8333,0.9549,0.9582,0.9613,0.9582
20,13983769.6885,6514489.7222,0.9573,0.9600,0.9626,0.9600
21,14031405.3672,6325716.2500,0.9600,0.9622,0.9642,0.9622
22,12847663.0658,6263224.9444,0.9562,0.9591,0.9618,0.9591
23,14028537.9297,6081930.8056,0.9580,0.9604,0.9627,0.9604
24,13346264.4958,5945784.8472,0.9578,0.9604,0.9630,0.9604
25,12509078.4067,5760643.4583,0.9581,0.9604,0.9624,0.9604
26,11426803.5515,5470026.2639,0.9596,0.9617,0.9635,0.9617
27,12985728.3750,5630330.0000,0.9605,0.9626,0.9648,0.9626
28,13375451.9004,5767777.2361,0.9605,0.9626,0.9648,0.9626
29,14412508.0508,5810028.0000,0.9605,0.9626,0.9648,0.9626
30,12008361.0881,5912237.0694,0.9605,0.9626,0.9648,0.9626
31,13160030.6075,6040001.3333,0.9605,0.9626,0.9648,0.9626
32,12616925.4900,6063597.5833,0.9605,0.9626,0.9648,0.9626
33,13098867.3368,6094704.9028,0.9605,0.9626,0.9648,0.9626
34,13200849.5337,6003062.4722,0.9605,0.9626,0.9648,0.9626
35,11620499.2125,5979949.5000,0.9605,0.9626,0.9648,0.9626
36,12633146.3391,5948467.5000,0.9605,0.9626,0.9648,0.9626
37,16030046.7790,5919465.2361,0.9605,0.9626,0.9648,0.9626
38,12331477.0282,5916312.2361,0.9605,0.9626,0.9648,0.9626
39,11415796.4727,5921485.2083,0.9605,0.9626,0.9648,0.9626
40,11951798.6501,5910960.0556,0.9605,0.9626,0.9648,0.9626
41,13808399.5938,5900393.6389,0.9605,0.9626,0.9648,0.9626
42,13531361.9135,5888711.7222,0.9605,0.9626,0.9648,0.9626
43,12268735.4094,5893196.0972,0.9605,0.9626,0.9648,0.9626
44,11800135.5727,5890356.4306,0.9605,0.9626,0.9648,0.9626
45,15791907.0339,5891252.5556,0.9605,0.9626,0.9648,0.9626
46,14848262.0625,5895297.1111,0.9605,0.9626,0.9648,0.9626
47,14902436.8672,5903956.5833,0.9605,0.9626,0.9648,0.9626
48,15847917.1914,5906693.6250,0.9605,0.9626,0.9648,0.9626
49,12026800.6829,5914928.7361,0.9605,0.9626,0.9648,0.9626
50,18035887.3477,5918069.6111,0.9605,0.9626,0.9648,0.9626
51,13299253.4233,5918076.2361,0.9605,0.9626,0.9648,0.9626
52,12946945.5797,5916988.5417,0.9605,0.9626,0.9648,0.9626
53,13350830.4843,5916637.1528,0.9605,0.9626,0.9648,0.9626
