epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,698.8328,362.0676,0.7642,0.8326,0.7169,0.8326
2,513.2534,566.6342,0.7642,0.8326,0.7169,0.8326
3,577.3602,273.5602,0.7642,0.8326,0.7169,0.8326
4,346.2692,397.3355,0.7747,0.8364,0.7840,0.8364
5,509.9031,871.7753,0.7639,0.8321,0.7169,0.8321
6,614.3277,615.2638,0.7642,0.8326,0.7169,0.8326
7,670.7724,414.7799,0.7695,0.8343,0.7787,0.8343
8,206.7068,405.7916,0.4941,0.5510,0.4966,0.5510
9,273.5128,150.6002,0.4941,0.5510,0.5397,0.5510
10,212.8037,241.1388,0.7639,0.8321,0.7169,0.8321
11,135.0220,184.4402,0.7639,0.8321,0.7169,0.8321
12,170.8623,440.8252,0.7762,0.8377,0.7946,0.8377
13,303.9812,363.8077,0.4817,0.5404,0.8446,0.5404
14,188.2579,249.4748,0.7639,0.8321,0.7169,0.8321
15,131.4995,48.9599,0.7657,0.7745,0.7976,0.7745
16,87.2495,111.5932,0.8100,0.8505,0.7831,0.8505
17,48.8305,100.6221,0.7762,0.8377,0.7946,0.8377
18,74.0404,38.0185,0.7771,0.8381,0.7907,0.8381
19,60.5326,36.8417,0.7428,0.7407,0.8916,0.7407
20,48.5733,51.2126,0.8087,0.8462,0.7783,0.8462
21,70.5231,50.6084,0.8224,0.8625,0.7962,0.8625
22,88.6713,44.1905,0.8508,0.8881,0.8196,0.8881
23,81.3531,122.2852,0.7639,0.8321,0.7169,0.8321
24,38.3805,110.4357,0.5051,0.5583,0.5187,0.5583
25,28.6486,23.2774,0.8455,0.8842,0.8172,0.8842
26,31.9845,10.5810,0.8300,0.8257,0.8884,0.8257
27,8.4671,7.8423,0.8572,0.8795,0.8774,0.8795
28,6.8789,29.9867,0.8662,0.9052,0.8337,0.9052
29,48.3384,7.2469,0.8767,0.9043,0.8725,0.9043
30,9.5766,19.3870,0.8474,0.8864,0.8212,0.8864
31,14.8459,15.1596,0.8678,0.9043,0.9196,0.9043
32,15.5661,31.2253,0.6520,0.6476,0.9065,0.6476
33,14.1618,16.6063,0.8710,0.9077,0.9224,0.9077
34,6.5629,3.8153,0.8825,0.8924,0.8781,0.8924
35,3.9725,4.4892,0.8489,0.8338,0.8812,0.8338
36,4.6063,17.6199,0.8541,0.8906,0.9107,0.8906
37,19.6248,8.2004,0.8552,0.8847,0.9139,0.8847
38,4.4412,3.4061,0.8714,0.8599,0.8917,0.8599
39,4.4821,11.3089,0.8657,0.9022,0.9181,0.9022
40,6.7912,3.5859,0.8617,0.8535,0.8777,0.8535
41,3.6995,3.7721,0.8652,0.8612,0.8764,0.8612
42,3.5055,3.3979,0.8903,0.9060,0.8847,0.9060
43,3.4250,21.8982,0.6041,0.6147,0.9098,0.6147
44,5.6891,32.3184,0.5389,0.5758,0.9210,0.5758
45,6.7168,3.2944,0.8850,0.9060,0.8815,0.9060
46,4.9174,8.5910,0.8760,0.9111,0.9250,0.9111
47,5.4271,4.8174,0.8817,0.9120,0.8890,0.9120
48,4.0010,11.4645,0.8727,0.9094,0.9237,0.9094
49,9.5506,6.4603,0.8778,0.9103,0.8905,0.9103
50,5.6799,3.4051,0.8522,0.8321,0.8926,0.8321
51,3.6550,3.0904,0.8931,0.9111,0.8912,0.9111
52,3.1012,5.0677,0.8406,0.8253,0.8874,0.8253
53,4.4472,4.2291,0.8462,0.8308,0.8922,0.8308
54,4.4000,6.0971,0.8762,0.9107,0.9264,0.9107
55,5.0763,4.6074,0.8798,0.9107,0.8815,0.9107
56,3.8049,3.6339,0.8476,0.8257,0.8969,0.8257
57,3.4289,3.6702,0.8473,0.8253,0.8967,0.8253
58,3.2390,2.5914,0.8890,0.9022,0.8827,0.9022
59,2.7816,2.4376,0.8908,0.9009,0.8853,0.9009
60,2.8783,6.1210,0.8103,0.7839,0.9053,0.7839
61,4.0143,2.8794,0.8926,0.9000,0.8908,0.9000
62,3.1801,6.0272,0.8126,0.7851,0.9098,0.7851
63,3.7606,4.1476,0.8821,0.9124,0.9056,0.9124
64,3.1451,2.6100,0.8903,0.9047,0.8848,0.9047
65,2.7470,2.8675,0.8945,0.9099,0.8904,0.9099
