epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.6584,0.4807,0.7651,0.8330,0.7187,0.8330
2,0.4423,0.4731,0.7651,0.8330,0.7187,0.8330
3,0.4563,0.4547,0.7651,0.8330,0.7187,0.8330
4,0.4340,0.4602,0.7651,0.8330,0.7187,0.8330
5,0.4535,0.4610,0.7651,0.8330,0.7187,0.8330
6,0.4348,0.4564,0.7651,0.8330,0.7187,0.8330
7,0.4454,0.4549,0.7651,0.8330,0.7187,0.8330
8,0.4290,0.4558,0.7651,0.8330,0.7187,0.8330
9,0.4481,0.4557,0.7651,0.8330,0.7187,0.8330
10,0.4479,0.4577,0.7651,0.8330,0.7187,0.8330
11,0.4354,0.4566,0.7651,0.8330,0.7187,0.8330
12,0.4303,0.4590,0.7651,0.8330,0.7187,0.8330
13,0.4409,0.4559,0.7651,0.8330,0.7187,0.8330
14,0.4510,0.4562,0.7651,0.8330,0.7187,0.8330
15,0.4368,0.4556,0.7651,0.8330,0.7187,0.8330
16,0.4229,0.4554,0.7651,0.8330,0.7187,0.8330
17,0.4274,0.4556,0.7651,0.8330,0.7187,0.8330
18,0.4407,0.4555,0.7651,0.8330,0.7187,0.8330
19,0.4421,0.4561,0.7651,0.8330,0.7187,0.8330
20,0.4359,0.4554,0.7651,0.8330,0.7187,0.8330
21,0.4383,0.4562,0.7651,0.8330,0.7187,0.8330
22,0.4422,0.4562,0.7651,0.8330,0.7187,0.8330
23,0.4511,0.4550,0.7651,0.8330,0.7187,0.8330
24,0.4335,0.4552,0.7651,0.8330,0.7187,0.8330
25,0.4243,0.4557,0.7651,0.8330,0.7187,0.8330
26,0.4254,0.4553,0.7651,0.8330,0.7187,0.8330
27,0.4250,0.4553,0.7651,0.8330,0.7187,0.8330
28,0.4490,0.4554,0.7651,0.8330,0.7187,0.8330
29,0.4385,0.4554,0.7651,0.8330,0.7187,0.8330
30,0.4384,0.4556,0.7651,0.8330,0.7187,0.8330
31,0.4261,0.4554,0.7651,0.8330,0.7187,0.8330
32,0.4225,0.4554,0.7651,0.8330,0.7187,0.8330
33,0.4374,0.4554,0.7651,0.8330,0.7187,0.8330
34,0.4372,0.4552,0.7651,0.8330,0.7187,0.8330
35,0.4276,0.4553,0.7651,0.8330,0.7187,0.8330
36,0.4256,0.4554,0.7651,0.8330,0.7187,0.8330
37,0.4228,0.4554,0.7651,0.8330,0.7187,0.8330
38,0.4274,0.4554,0.7651,0.8330,0.7187,0.8330
39,0.4255,0.4554,0.7651,0.8330,0.7187,0.8330
40,0.4619,0.4554,0.7651,0.8330,0.7187,0.8330
41,0.4393,0.4552,0.7651,0.8330,0.7187,0.8330
42,0.4254,0.4552,0.7651,0.8330,0.7187,0.8330
43,0.4243,0.4553,0.7651,0.8330,0.7187,0.8330
44,0.4221,0.4553,0.7651,0.8330,0.7187,0.8330
45,0.4339,0.4553,0.7651,0.8330,0.7187,0.8330
46,0.4221,0.4553,0.7651,0.8330,0.7187,0.8330
47,0.4377,0.4553,0.7651,0.8330,0.7187,0.8330
48,0.4429,0.4552,0.7651,0.8330,0.7187,0.8330
49,0.4200,0.4552,0.7651,0.8330,0.7187,0.8330
50,0.4495,0.4552,0.7651,0.8330,0.7187,0.8330
51,0.4221,0.4551,0.7651,0.8330,0.7187,0.8330
52,0.4346,0.4551,0.7651,0.8330,0.7187,0.8330
53,0.4371,0.4551,0.7651,0.8330,0.7187,0.8330
