epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.6392,0.4926,0.7632,0.8317,0.7162,0.8317
2,0.4562,0.4799,0.7632,0.8317,0.7162,0.8317
3,0.4722,0.4559,0.7632,0.8317,0.7162,0.8317
4,0.4690,0.4580,0.7632,0.8317,0.7162,0.8317
5,0.4435,0.4649,0.7632,0.8317,0.7162,0.8317
6,0.4412,0.4519,0.7632,0.8317,0.7162,0.8317
7,0.4514,0.4646,0.7632,0.8317,0.7162,0.8317
8,0.4478,0.4540,0.7632,0.8317,0.7162,0.8317
9,0.4500,0.4723,0.7632,0.8317,0.7162,0.8317
10,0.4658,0.4622,0.7632,0.8317,0.7162,0.8317
11,0.4553,0.4530,0.7632,0.8317,0.7162,0.8317
12,0.4325,0.4499,0.7632,0.8317,0.7162,0.8317
13,0.4294,0.4435,0.7632,0.8317,0.7162,0.8317
14,0.4411,0.4460,0.7632,0.8317,0.7162,0.8317
15,0.4383,0.4488,0.7711,0.8343,0.7780,0.8343
16,0.4266,0.4377,0.7690,0.8343,0.7977,0.8343
17,0.4414,0.4433,0.7632,0.8317,0.7162,0.8317
18,0.4444,0.4432,0.7632,0.8317,0.7162,0.8317
19,0.4456,0.4416,0.7632,0.8317,0.7162,0.8317
20,0.4197,0.4514,0.7632,0.8317,0.7162,0.8317
21,0.4153,0.4363,0.7632,0.8317,0.7162,0.8317
22,0.4173,0.4343,0.7632,0.8317,0.7162,0.8317
23,0.4118,0.4368,0.7632,0.8317,0.7162,0.8317
24,0.4277,0.4496,0.7632,0.8317,0.7162,0.8317
25,0.4504,0.4519,0.7632,0.8317,0.7162,0.8317
26,0.4802,0.4521,0.7632,0.8317,0.7162,0.8317
27,0.4675,0.4533,0.7632,0.8317,0.7162,0.8317
28,0.4623,0.4521,0.7632,0.8317,0.7162,0.8317
29,0.4416,0.4536,0.7632,0.8317,0.7162,0.8317
30,0.4483,0.4516,0.7632,0.8317,0.7162,0.8317
31,0.4540,0.4518,0.7632,0.8317,0.7162,0.8317
32,0.4348,0.4511,0.7632,0.8317,0.7162,0.8317
33,0.4404,0.4509,0.7632,0.8317,0.7162,0.8317
34,0.4596,0.4509,0.7632,0.8317,0.7162,0.8317
35,0.4376,0.4508,0.7632,0.8317,0.7162,0.8317
36,0.4468,0.4505,0.7632,0.8317,0.7162,0.8317
37,0.4484,0.4507,0.7632,0.8317,0.7162,0.8317
38,0.4356,0.4505,0.7632,0.8317,0.7162,0.8317
39,0.4604,0.4500,0.7632,0.8317,0.7162,0.8317
40,0.4428,0.4498,0.7632,0.8317,0.7162,0.8317
41,0.4443,0.4494,0.7632,0.8317,0.7162,0.8317
42,0.4577,0.4493,0.7632,0.8317,0.7162,0.8317
43,0.4346,0.4490,0.7632,0.8317,0.7162,0.8317
44,0.4287,0.4489,0.7632,0.8317,0.7162,0.8317
45,0.4561,0.4486,0.7632,0.8317,0.7162,0.8317
46,0.4284,0.4486,0.7632,0.8317,0.7162,0.8317
47,0.4429,0.4484,0.7632,0.8317,0.7162,0.8317
48,0.4328,0.4481,0.7632,0.8317,0.7162,0.8317
49,0.4319,0.4480,0.7632,0.8317,0.7162,0.8317
50,0.4367,0.4481,0.7632,0.8317,0.7162,0.8317
51,0.4426,0.4479,0.7632,0.8317,0.7162,0.8317
52,0.4628,0.4477,0.7632,0.8317,0.7162,0.8317
53,0.4391,0.4475,0.7632,0.8317,0.7162,0.8317
54,0.4302,0.4474,0.7632,0.8317,0.7162,0.8317
55,0.4411,0.4473,0.7632,0.8317,0.7162,0.8317
56,0.4361,0.4473,0.7632,0.8317,0.7162,0.8317
57,0.4291,0.4472,0.7632,0.8317,0.7162,0.8317
58,0.4301,0.4471,0.7632,0.8317,0.7162,0.8317
59,0.4368,0.4471,0.7632,0.8317,0.7162,0.8317
60,0.4459,0.4470,0.7632,0.8317,0.7162,0.8317
61,0.4322,0.4470,0.7632,0.8317,0.7162,0.8317
62,0.4346,0.4470,0.7632,0.8317,0.7162,0.8317
63,0.4429,0.4470,0.7632,0.8317,0.7162,0.8317
64,0.4284,0.4470,0.7632,0.8317,0.7162,0.8317
65,0.4288,0.4470,0.7632,0.8317,0.7162,0.8317
66,0.4355,0.4469,0.7632,0.8317,0.7162,0.8317
67,0.4314,0.4469,0.7632,0.8317,0.7162,0.8317
68,0.4520,0.4469,0.7632,0.8317,0.7162,0.8317
69,0.4441,0.4469,0.7632,0.8317,0.7162,0.8317
70,0.4318,0.4469,0.7632,0.8317,0.7162,0.8317
71,0.4556,0.4469,0.7632,0.8317,0.7162,0.8317
72,0.4294,0.4469,0.7632,0.8317,0.7162,0.8317
