epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.6588,0.4573,0.7635,0.8317,0.7171,0.8317
2,0.4516,0.4596,0.7635,0.8317,0.7171,0.8317
3,0.4489,0.4426,0.7635,0.8317,0.7171,0.8317
4,0.4555,0.4411,0.7635,0.8317,0.7171,0.8317
5,0.4484,0.4485,0.7635,0.8317,0.7171,0.8317
6,0.4598,0.4414,0.7635,0.8317,0.7171,0.8317
7,0.4600,0.4419,0.7635,0.8317,0.7171,0.8317
8,0.4445,0.4437,0.7635,0.8317,0.7171,0.8317
9,0.4427,0.4407,0.7635,0.8317,0.7171,0.8317
10,0.4451,0.4473,0.7635,0.8317,0.7171,0.8317
11,0.4614,0.4420,0.7635,0.8317,0.7171,0.8317
12,0.4671,0.4429,0.7635,0.8317,0.7171,0.8317
13,0.4442,0.4402,0.7635,0.8317,0.7171,0.8317
14,0.4649,0.4409,0.7635,0.8317,0.7171,0.8317
15,0.4437,0.4417,0.7635,0.8317,0.7171,0.8317
16,0.4427,0.4428,0.7635,0.8317,0.7171,0.8317
17,0.4373,0.4427,0.7635,0.8317,0.7171,0.8317
18,0.4428,0.4397,0.7635,0.8317,0.7171,0.8317
19,0.4561,0.4401,0.7635,0.8317,0.7171,0.8317
20,0.4541,0.4398,0.7635,0.8317,0.7171,0.8317
21,0.4533,0.4408,0.7635,0.8317,0.7171,0.8317
22,0.4404,0.4402,0.7635,0.8317,0.7171,0.8317
23,0.4531,0.4400,0.7635,0.8317,0.7171,0.8317
24,0.4424,0.4403,0.7635,0.8317,0.7171,0.8317
25,0.4395,0.4396,0.7635,0.8317,0.7171,0.8317
26,0.4563,0.4398,0.7635,0.8317,0.7171,0.8317
27,0.4676,0.4397,0.7635,0.8317,0.7171,0.8317
28,0.4519,0.4401,0.7635,0.8317,0.7171,0.8317
29,0.4504,0.4398,0.7635,0.8317,0.7171,0.8317
30,0.4782,0.4401,0.7635,0.8317,0.7171,0.8317
31,0.4535,0.4396,0.7635,0.8317,0.7171,0.8317
32,0.4587,0.4396,0.7635,0.8317,0.7171,0.8317
33,0.4448,0.4397,0.7635,0.8317,0.7171,0.8317
34,0.4505,0.4400,0.7635,0.8317,0.7171,0.8317
35,0.4542,0.4401,0.7635,0.8317,0.7171,0.8317
36,0.4450,0.4395,0.7635,0.8317,0.7171,0.8317
37,0.4560,0.4399,0.7635,0.8317,0.7171,0.8317
38,0.4392,0.4400,0.7635,0.8317,0.7171,0.8317
39,0.4531,0.4399,0.7635,0.8317,0.7171,0.8317
40,0.4528,0.4396,0.7635,0.8317,0.7171,0.8317
41,0.4528,0.4395,0.7635,0.8317,0.7171,0.8317
42,0.4589,0.4395,0.7635,0.8317,0.7171,0.8317
43,0.4391,0.4397,0.7635,0.8317,0.7171,0.8317
44,0.4446,0.4398,0.7635,0.8317,0.7171,0.8317
45,0.4557,0.4399,0.7635,0.8317,0.7171,0.8317
46,0.4445,0.4399,0.7635,0.8317,0.7171,0.8317
47,0.4557,0.4400,0.7635,0.8317,0.7171,0.8317
48,0.4531,0.4400,0.7635,0.8317,0.7171,0.8317
49,0.4418,0.4399,0.7635,0.8317,0.7171,0.8317
50,0.4418,0.4399,0.7635,0.8317,0.7171,0.8317
51,0.4418,0.4399,0.7635,0.8317,0.7171,0.8317
52,0.4418,0.4400,0.7635,0.8317,0.7171,0.8317
53,0.4558,0.4399,0.7635,0.8317,0.7171,0.8317
54,0.4642,0.4399,0.7635,0.8317,0.7171,0.8317
55,0.4363,0.4399,0.7635,0.8317,0.7171,0.8317
56,0.4807,0.4399,0.7635,0.8317,0.7171,0.8317
57,0.4558,0.4398,0.7635,0.8317,0.7171,0.8317
