epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.3287,0.3461,0.8794,0.9171,0.8477,0.9171
2,0.2489,0.1303,0.9219,0.9381,0.9465,0.9381
3,0.2058,0.2487,0.9219,0.9381,0.9465,0.9381
4,0.1664,0.1850,0.9324,0.9415,0.9396,0.9415
5,0.1439,0.1361,0.9472,0.9445,0.9546,0.9445
6,0.1501,0.1303,0.9219,0.9381,0.9465,0.9381
7,0.1279,0.1034,0.9793,0.9795,0.9831,0.9795
8,0.1202,0.1495,0.9219,0.9381,0.9465,0.9381
9,0.1312,0.1021,0.9798,0.9799,0.9836,0.9799
10,0.1368,0.1248,0.9472,0.9445,0.9546,0.9445
11,0.1276,0.2970,0.8707,0.8543,0.9296,0.8543
12,0.1194,0.0972,0.9793,0.9795,0.9831,0.9795
13,0.1144,0.1091,0.9219,0.9381,0.9465,0.9381
14,0.1898,0.2555,0.8762,0.8607,0.9304,0.8607
15,0.1959,0.1175,0.9219,0.9381,0.9465,0.9381
16,0.1331,0.1498,0.9468,0.9440,0.9544,0.9440
17,0.1273,0.1378,0.9472,0.9445,0.9546,0.9445
18,0.1217,0.1784,0.8920,0.8791,0.9337,0.8791
19,0.1218,0.1084,0.9735,0.9735,0.9762,0.9735
20,0.1132,0.0949,0.9219,0.9381,0.9465,0.9381
21,0.1175,0.0971,0.9802,0.9804,0.9842,0.9804
22,0.1069,0.1524,0.9417,0.9381,0.9514,0.9381
23,0.1206,0.1194,0.9219,0.9381,0.9465,0.9381
24,0.1174,0.1068,0.9219,0.9381,0.9465,0.9381
25,0.1047,0.0903,0.9219,0.9381,0.9465,0.9381
26,0.1008,0.0908,0.9740,0.9739,0.9767,0.9739
27,0.1108,0.1132,0.9472,0.9445,0.9546,0.9445
28,0.1046,0.1156,0.9472,0.9445,0.9546,0.9445
29,0.1536,0.0919,0.9219,0.9381,0.9465,0.9381
30,0.0930,0.0996,0.9219,0.9381,0.9465,0.9381
31,0.0940,0.0745,0.9679,0.9675,0.9704,0.9675
32,0.1036,0.0848,0.9539,0.9522,0.9590,0.9522
33,0.1395,0.0725,0.9785,0.9786,0.9820,0.9786
34,0.0912,0.2229,0.8883,0.8748,0.9329,0.8748
35,0.0977,0.0746,0.9802,0.9804,0.9842,0.9804
36,0.1402,0.0749,0.9731,0.9744,0.9784,0.9744
37,0.0921,0.1240,0.9472,0.9445,0.9546,0.9445
38,0.0912,0.0892,0.9479,0.9453,0.9551,0.9453
39,0.0853,0.1037,0.9472,0.9445,0.9546,0.9445
40,0.0844,0.0804,0.9536,0.9517,0.9587,0.9517
41,0.1025,0.1532,0.9439,0.9406,0.9527,0.9406
42,0.0796,0.1478,0.9468,0.9440,0.9544,0.9440
43,0.1138,0.0668,0.9747,0.9757,0.9797,0.9757
44,0.0739,0.0654,0.9651,0.9645,0.9679,0.9645
45,0.1163,0.0832,0.9219,0.9381,0.9465,0.9381
46,0.0983,0.1927,0.9282,0.9223,0.9450,0.9223
47,0.1405,0.0827,0.9494,0.9470,0.9560,0.9470
48,0.2003,0.3672,0.9073,0.9150,0.9144,0.9150
49,0.0782,0.0662,0.9731,0.9731,0.9758,0.9731
50,0.0762,0.1215,0.9472,0.9445,0.9546,0.9445
