epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,1.0560,1.3490,0.8754,0.8582,0.9335,0.8582
2,0.5373,0.2989,0.9310,0.9248,0.9477,0.9248
3,0.3017,0.5248,0.8579,0.8381,0.9144,0.8381
4,0.2705,0.2705,0.8684,0.8509,0.9160,0.8509
5,0.2276,0.3357,0.9514,0.9479,0.9632,0.9479
6,0.1678,0.0987,0.9354,0.9470,0.9511,0.9470
7,0.2537,0.1472,0.9479,0.9449,0.9558,0.9449
8,0.2024,0.1215,0.9483,0.9453,0.9560,0.9453
9,0.1706,0.1304,0.9479,0.9449,0.9558,0.9449
10,0.1378,0.1436,0.9446,0.9411,0.9540,0.9411
11,0.1794,0.1036,0.9799,0.9804,0.9827,0.9804
12,0.4155,0.9222,0.5624,0.6121,0.5484,0.6121
13,0.4338,0.1333,0.9479,0.9449,0.9558,0.9449
14,0.4179,0.6274,0.8226,0.7971,0.9106,0.7971
15,0.3817,0.0957,0.9537,0.9594,0.9626,0.9594
16,0.1760,0.0944,0.9784,0.9786,0.9805,0.9786
17,0.1375,0.1241,0.9483,0.9453,0.9560,0.9453
18,0.1349,0.1036,0.9483,0.9453,0.9560,0.9453
19,0.1335,0.1028,0.9508,0.9483,0.9575,0.9483
20,0.1222,0.1847,0.8988,0.8859,0.9380,0.8859
21,0.1196,0.1026,0.9483,0.9453,0.9560,0.9453
22,0.1153,0.1266,0.9479,0.9449,0.9558,0.9449
23,0.1184,0.1658,0.9250,0.9176,0.9454,0.9176
24,0.1128,0.1448,0.9475,0.9445,0.9555,0.9445
25,0.1098,0.1787,0.9193,0.9107,0.9435,0.9107
26,0.1121,0.1242,0.9479,0.9449,0.9558,0.9449
