epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,4300.5798,1597.2326,0.7759,0.8411,0.7305,0.8411
2,2148.7556,915.7210,0.7763,0.8415,0.7307,0.8415
3,1877.3519,967.8685,0.7763,0.8415,0.7307,0.8415
4,1823.3893,772.5190,0.7759,0.8407,0.7307,0.8407
5,1667.5234,703.6854,0.7759,0.8407,0.7307,0.8407
6,1495.7497,423.9907,0.7759,0.8407,0.7307,0.8407
7,1284.6633,340.6836,0.8792,0.9167,0.8478,0.9167
8,1094.1906,392.3623,0.8794,0.9171,0.8477,0.9171
9,942.0270,353.5425,0.8795,0.9171,0.8480,0.9171
10,779.7085,312.1949,0.8795,0.9171,0.8480,0.9171
11,682.6235,178.8116,0.8799,0.9176,0.8483,0.9176
12,686.5063,187.7950,0.8799,0.9176,0.8483,0.9176
13,610.8364,405.6195,0.8799,0.9176,0.8483,0.9176
14,582.7178,134.7127,0.8810,0.9180,0.9310,0.9180
15,486.1459,163.7764,0.9202,0.9372,0.9458,0.9372
16,441.4815,104.2886,0.9202,0.9372,0.9458,0.9372
17,375.5977,199.4186,0.8918,0.9227,0.9345,0.9227
18,397.0022,66.9638,0.9236,0.9167,0.9429,0.9167
19,360.8965,92.1306,0.9582,0.9624,0.9673,0.9624
20,293.6118,55.2525,0.9637,0.9667,0.9712,0.9667
21,270.4706,111.9542,0.9210,0.9376,0.9461,0.9376
22,233.7421,63.9597,0.9362,0.9317,0.9484,0.9317
23,206.5668,101.3098,0.9282,0.9419,0.9496,0.9419
24,203.0980,85.6304,0.9210,0.9376,0.9461,0.9376
25,167.2732,110.3127,0.9122,0.9030,0.9389,0.9030
26,177.1823,85.6031,0.9261,0.9197,0.9439,0.9197
27,172.5155,78.4114,0.9757,0.9761,0.9794,0.9761
28,161.7124,136.3902,0.8997,0.8881,0.9353,0.8881
29,144.7559,94.0439,0.9333,0.9282,0.9470,0.9282
30,136.7414,113.5600,0.9236,0.9167,0.9429,0.9167
31,156.3391,67.7808,0.9424,0.9389,0.9516,0.9389
32,143.6271,212.2028,0.8806,0.8654,0.9311,0.8654
33,137.4042,129.6141,0.9004,0.8889,0.9355,0.8889
34,131.2178,167.4351,0.8879,0.8740,0.9325,0.8740
35,124.1392,134.6741,0.9008,0.8894,0.9356,0.8894
36,133.4506,141.6125,0.8954,0.8830,0.9343,0.8830
37,125.6880,123.8395,0.9061,0.8958,0.9371,0.8958
38,129.9002,118.2230,0.9133,0.9043,0.9392,0.9043
39,120.7876,126.6065,0.9015,0.8902,0.9358,0.8902
40,131.4100,143.0922,0.8954,0.8830,0.9343,0.8830
41,123.1164,120.9051,0.9115,0.9022,0.9387,0.9022
42,113.0862,134.2761,0.8990,0.8872,0.9351,0.8872
43,122.9869,133.6907,0.8990,0.8872,0.9351,0.8872
44,114.5767,137.8104,0.8986,0.8868,0.9351,0.8868
45,123.6706,125.5396,0.9058,0.8953,0.9370,0.8953
46,131.8058,123.7812,0.9101,0.9005,0.9382,0.9005
47,116.7791,128.5009,0.9011,0.8898,0.9357,0.8898
48,125.8187,127.5437,0.9008,0.8894,0.9356,0.8894
49,124.4165,129.0796,0.9001,0.8885,0.9354,0.8885
50,124.6069,130.9673,0.8997,0.8881,0.9353,0.8881
51,149.0135,135.2345,0.8986,0.8868,0.9351,0.8868
52,159.9108,135.7915,0.8983,0.8864,0.9350,0.8864
53,133.5762,124.4717,0.9015,0.8902,0.9358,0.8902
54,128.4035,123.1936,0.9033,0.8924,0.9363,0.8924
55,127.1163,118.9113,0.9111,0.9018,0.9386,0.9018
56,123.0898,121.7829,0.9086,0.8988,0.9378,0.8988
57,121.4712,124.0438,0.9036,0.8928,0.9364,0.8928
58,120.3207,126.0340,0.9015,0.8902,0.9358,0.8902
59,144.2633,127.5106,0.9008,0.8894,0.9356,0.8894
60,119.7207,126.0425,0.9022,0.8911,0.9360,0.8911
61,121.0238,126.9564,0.9015,0.8902,0.9358,0.8902
62,148.9449,127.7141,0.9008,0.8894,0.9356,0.8894
63,129.5005,127.7789,0.9008,0.8894,0.9356,0.8894
64,127.8947,128.2002,0.9008,0.8894,0.9356,0.8894
65,159.8574,128.2505,0.9008,0.8894,0.9356,0.8894
66,133.8031,128.6845,0.9008,0.8894,0.9356,0.8894
67,117.6089,129.1233,0.9008,0.8894,0.9356,0.8894
68,151.4162,129.5346,0.9008,0.8894,0.9356,0.8894
69,114.5292,130.3624,0.9004,0.8889,0.9355,0.8889
70,114.4121,130.4895,0.9004,0.8889,0.9355,0.8889
